ID,date,station,Latitude,Longitude,LULC_Class,Area_ha,lulc_urban_pct,soil_infiltration_mmhr,LandUse_Class,Flood_Severity,Flood_Severity_Class,discharge_m3s
65,"Tuesday, March 6, 1990",Hadejia,11.784897,9.650362,Built-up,288.8,1.8,13,Built-up,3,2,8.54
66,"Wednesday, March 7, 1990",Hadejia,11.163023,8.682888,Water Body,341.05,1.8,19.2,Built-up,1,2,8.61
67,"Thursday, March 8, 1990",Hadejia,12.274012,9.030495,Agriculture,368.83,2.2,19.3,Wetland,0,0,8.58
68,"Friday, March 9, 1990",Hadejia,11.138434,9.152583,Water Body,445.49,2.2,21.7,Built-up,0,1,8.88
69,"Saturday, March 10, 1990",Hadejia,12.132511,8.350816,Water Body,408.99,2.9,16.6,Forest,3,2,8.48
70,"Sunday, March 11, 1990",Hadejia,11.791031,9.793815,Grassland,121.83,1.9,17.2,Built-up,2,4,8.52
71,"Monday, March 12, 1990",Hadejia,12.525542,9.151105,Grassland,166.23,1.9,18.7,Built-up,3,2,8.52
72,"Tuesday, March 13, 1990",Hadejia,11.713519,8.77259,Grassland,104.04,2.3,22.4,Built-up,1,2,8.47
73,"Wednesday, March 14, 1990",Hadejia,11.880766,8.092215,Agriculture,47.96,2.3,17.3,Forest,1,3,8.48
74,"Thursday, March 15, 1990",Hadejia,11.46912,8.435279,Grassland,364.42,1.9,17,Wetland,1,2,8.48
75,"Friday, March 16, 1990",Hadejia,12.081697,9.808636,Grassland,357.31,2.1,18.2,Wetland,3,3,8.18
76,"Saturday, March 17, 1990",Hadejia,11.01895,8.563557,Bare Land,233.99,2.5,14.4,Built-up,3,1,8.18
77,"Sunday, March 18, 1990",Hadejia,11.887937,8.453692,Forest,476.75,1.6,19.6,Forest,0,1,8.13
78,"Monday, March 19, 1990",Hadejia,11.422713,8.702261,Bare Land,97.46,1.8,16.6,Built-up,2,1,8.22
79,"Tuesday, March 20, 1990",Hadejia,11.789984,9.183853,Forest,219.27,2.1,17.2,Forest,3,1,8.32
80,"Wednesday, March 21, 1990",Hadejia,11.13577,9.094072,Water Body,162.43,1.8,17.5,Forest,0,2,8.59
81,"Thursday, March 22, 1990",Hadejia,12.06271,9.301754,Grassland,148.73,1.8,21,Wetland,3,1,8.59
82,"Friday, March 23, 1990",Hadejia,11.160648,9.943487,Built-up,438.07,2.4,16.1,Agriculture,0,4,8.77
83,"Saturday, March 24, 1990",Hadejia,12.461688,9.328482,Forest,399.73,2.1,19.7,Agriculture,0,1,8.82
84,"Sunday, March 25, 1990",Hadejia,12.685849,8.332885,Forest,179.69,2,13.2,Bareland,2,1,8.77
85,"Monday, March 26, 1990",Hadejia,12.826732,8.695465,Grassland,496.28,1.8,19,Bareland,3,3,8.97
86,"Tuesday, March 27, 1990",Hadejia,12.445349,8.087388,Water Body,223.77,2.1,19.4,Agriculture,0,0,8.87
87,"Wednesday, March 28, 1990",Hadejia,12.546891,9.931844,Forest,262.77,2.4,19,Wetland,1,1,8.65
88,"Thursday, March 29, 1990",Hadejia,11.149585,8.808673,Water Body,425.43,1.6,15.8,Bareland,1,2,8.91
89,"Friday, March 30, 1990",Hadejia,12.675318,9.205608,Forest,325.64,1.6,18.8,Agriculture,1,2,8.82
90,"Saturday, March 31, 1990",Hadejia,12.906134,8.67044,Agriculture,260.74,2.2,18.6,Wetland,2,2,8.76
91,"Sunday, April 1, 1990",Hadejia,11.41008,9.686959,Forest,434.95,1.8,16,Bareland,0,2,8.76
92,"Monday, April 2, 1990",Hadejia,11.275275,9.130998,Agriculture,86.93,1.8,15.5,Bareland,2,2,8.47
93,"Tuesday, April 3, 1990",Hadejia,12.721972,8.767647,Bare Land,144.83,1.8,18.8,Agriculture,3,1,8.53
94,"Wednesday, April 4, 1990",Hadejia,12.03192,8.212416,Forest,379.45,2.2,15.4,Bareland,3,2,8.5
95,"Thursday, April 5, 1990",Hadejia,11.001879,8.13103,Forest,413.61,2.2,17.7,Wetland,0,2,8.35
96,"Friday, April 6, 1990",Hadejia,12.790774,8.008814,Water Body,483.65,2.1,18.9,Agriculture,1,1,8.26
97,"Saturday, April 7, 1990",Hadejia,11.679837,8.065079,Forest,5.92,1.9,15.2,Wetland,0,4,8.35
98,"Sunday, April 8, 1990",Hadejia,11.131964,8.535222,Built-up,392.32,1.8,16.9,Bareland,0,2,8.45
99,"Monday, April 9, 1990",Hadejia,11.198031,8.884232,Built-up,230.3,1.8,15.7,Wetland,0,1,8.45
100,"Tuesday, April 10, 1990",Hadejia,11.402358,8.062797,Grassland,358.62,1.7,17.9,Built-up,2,2,8.39
101,"Wednesday, April 11, 1990",Hadejia,12.542311,9.392626,Bare Land,279.17,1.9,18.1,Forest,3,3,8.58
102,"Thursday, April 12, 1990",Hadejia,12.613558,9.821313,Agriculture,474.08,2,17.5,Bareland,0,2,8.63
103,"Friday, April 13, 1990",Hadejia,11.639458,8.088511,Built-up,319.35,2.2,19,Built-up,0,1,8.7
104,"Saturday, April 14, 1990",Hadejia,12.555699,9.117726,Grassland,238.22,2,17.8,Forest,0,1,8.61
105,"Sunday, April 15, 1990",Hadejia,12.203028,9.680942,Bare Land,485.47,1.9,17,Agriculture,2,2,8.6
106,"Monday, April 16, 1990",Hadejia,12.414718,9.92076,Agriculture,48.77,2.5,17.4,Forest,2,2,9.01
107,"Tuesday, April 17, 1990",Hadejia,11.198234,9.666348,Water Body,357.12,1,18.4,Agriculture,2,2,9.35
108,"Wednesday, April 18, 1990",Hadejia,12.209047,9.724721,Grassland,498.23,2.2,21.3,Built-up,0,4,9.07
109,"Thursday, April 19, 1990",Hadejia,11.123315,8.248655,Forest,411.73,2.2,17.8,Forest,1,2,8.94
110,"Friday, April 20, 1990",Hadejia,12.744544,8.024406,Built-up,384.4,2.2,15,Bareland,1,1,9.41
111,"Saturday, April 21, 1990",Hadejia,12.631156,8.932525,Built-up,332.14,2.3,16,Built-up,1,0,9.41
112,"Sunday, April 22, 1990",Hadejia,11.709882,8.820306,Bare Land,200.1,1.6,15.8,Forest,3,2,9.55
113,"Monday, April 23, 1990",Hadejia,11.996407,8.50332,Built-up,312.25,2.3,15.9,Wetland,0,1,9.14
114,"Tuesday, April 24, 1990",Hadejia,11.285993,8.893038,Grassland,65.73,2.1,17.1,Wetland,1,3,9.21
115,"Wednesday, April 25, 1990",Hadejia,12.679702,9.535837,Built-up,273.17,1.9,18,Agriculture,1,2,9.28
116,"Thursday, April 26, 1990",Hadejia,11.059379,9.361808,Water Body,462.14,2.2,14.7,Built-up,1,2,9.32
117,"Friday, April 27, 1990",Hadejia,12.028187,9.173973,Built-up,28.39,2.1,20.3,Wetland,0,1,8.79
118,"Saturday, April 28, 1990",Hadejia,11.005231,9.804396,Built-up,6.44,1.7,14.6,Forest,1,0,9.06
119,"Sunday, April 29, 1990",Hadejia,11.367301,8.477335,Agriculture,61.08,1.4,17.5,Bareland,1,2,8.95
120,"Monday, April 30, 1990",Hadejia,12.118403,8.774766,Forest,293.61,1.6,13.6,Agriculture,0,1,8.98
121,"Tuesday, May 1, 1990",Hadejia,12.19178,8.074086,Forest,293.01,1.8,17.8,Forest,3,1,8.76
122,"Wednesday, May 2, 1990",Hadejia,11.455646,8.288758,Bare Land,371.5,2.1,18.6,Agriculture,2,2,8.96
123,"Thursday, May 3, 1990",Hadejia,12.995307,9.609858,Built-up,61.68,1.6,18.2,Wetland,1,2,8.93
124,"Friday, May 4, 1990",Hadejia,11.881663,8.848522,Built-up,449.65,2.1,17.7,Built-up,2,1,9.12
125,"Saturday, May 5, 1990",Hadejia,11.439475,9.380826,Grassland,37.55,2.1,19.2,Bareland,3,3,8.97
126,"Sunday, May 6, 1990",Hadejia,12.062517,8.026371,Forest,264.21,2.6,19.6,Wetland,3,3,9.17
127,"Monday, May 7, 1990",Hadejia,11.828401,9.896602,Grassland,301.17,2.1,18,Built-up,1,2,9.19
128,"Tuesday, May 8, 1990",Hadejia,11.853973,8.054657,Bare Land,98.3,1.4,19,Bareland,0,2,9
129,"Wednesday, May 9, 1990",Hadejia,11.636765,9.356919,Water Body,335.96,2.3,14.2,Built-up,3,2,8.73
130,"Thursday, May 10, 1990",Hadejia,11.066797,9.810488,Grassland,270.6,1.7,18.5,Wetland,2,3,8.9
131,"Friday, May 11, 1990",Hadejia,12.461309,8.964169,Agriculture,224.59,1.7,17.3,Bareland,2,2,8.71
132,"Saturday, May 12, 1990",Hadejia,11.364839,8.350327,Bare Land,496.85,1.9,16.6,Forest,2,1,8.76
133,"Sunday, May 13, 1990",Hadejia,12.455637,8.601063,Water Body,406.58,2.2,17.4,Wetland,2,1,8.55
134,"Monday, May 14, 1990",Hadejia,11.49389,8.927242,Agriculture,195.94,1.9,20,Agriculture,3,4,8.5
135,"Tuesday, May 15, 1990",Hadejia,12.531563,8.778185,Built-up,315.94,2,17.1,Bareland,1,0,8.57
136,"Wednesday, May 16, 1990",Hadejia,11.742889,9.47527,Bare Land,110.45,1.7,15.6,Built-up,1,1,8.73
137,"Thursday, May 17, 1990",Hadejia,11.495647,8.5033,Grassland,216.58,1.6,14.8,Wetland,2,3,8.57
138,"Friday, May 18, 1990",Hadejia,11.232766,9.851,Agriculture,163.03,2.1,18.6,Built-up,1,1,8.79
139,"Saturday, May 19, 1990",Hadejia,12.97809,8.592186,Built-up,479.3,1.5,17.9,Forest,2,2,8.61
140,"Sunday, May 20, 1990",Hadejia,12.716002,8.802897,Water Body,151.55,1.8,15.6,Built-up,2,2,8.79
141,"Monday, May 21, 1990",Hadejia,12.901921,9.886785,Bare Land,268.75,1.9,16.7,Wetland,0,1,8.79
142,"Tuesday, May 22, 1990",Hadejia,12.734806,9.651319,Forest,206.61,2.1,20.4,Bareland,3,0,8.8
143,"Wednesday, May 23, 1990",Hadejia,11.771482,8.610884,Forest,53.63,1.9,17.7,Wetland,3,2,8.78
144,"Thursday, May 24, 1990",Hadejia,11.034688,9.460005,Grassland,87.1,1.9,16.2,Agriculture,2,1,9.39
145,"Friday, May 25, 1990",Hadejia,11.210201,9.213003,Agriculture,32.74,1.6,16.9,Agriculture,3,1,9.26
146,"Saturday, May 26, 1990",Hadejia,11.192662,8.686663,Grassland,84.01,1.9,15.2,Built-up,1,2,9.31
147,"Sunday, May 27, 1990",Hadejia,11.302988,9.843051,Agriculture,74.11,1.9,16,Built-up,2,3,9.08
148,"Monday, May 28, 1990",Hadejia,11.845023,8.198338,Agriculture,188.38,2.1,17.4,Wetland,0,1,9.08
149,"Tuesday, May 29, 1990",Hadejia,12.893017,9.332666,Forest,233.78,1.8,16.5,Built-up,1,1,9
150,"Wednesday, May 30, 1990",Hadejia,11.312996,9.147833,Water Body,465.75,1.7,19.3,Built-up,0,0,9.23
151,"Thursday, May 31, 1990",Hadejia,11.94979,8.726179,Water Body,286.65,1.6,16.8,Built-up,0,3,8.64
152,"Friday, June 1, 1990",Hadejia,12.024482,8.50355,Grassland,234.07,2,16.1,Bareland,3,4,8.55
153,"Saturday, June 2, 1990",Hadejia,12.918042,8.009385,Forest,40.85,1.9,18.9,Agriculture,3,3,8.55
154,"Sunday, June 3, 1990",Hadejia,11.249354,8.538867,Agriculture,99.16,2,14.2,Bareland,2,3,8.56
155,"Monday, June 4, 1990",Hadejia,11.680242,9.178896,Forest,46.57,1.9,16,Wetland,3,1,8.65
156,"Tuesday, June 5, 1990",Hadejia,12.383819,9.295927,Water Body,144.02,1.9,15.6,Forest,0,2,8.83
157,"Wednesday, June 6, 1990",Hadejia,12.377941,8.196255,Water Body,145.16,1.8,15.3,Agriculture,0,3,8.46
158,"Thursday, June 7, 1990",Hadejia,11.996996,8.233911,Bare Land,59.42,2.2,15.4,Wetland,1,0,8.38
159,"Friday, June 8, 1990",Hadejia,11.443183,8.454477,Water Body,22.63,2,13.1,Built-up,0,1,9.22
160,"Saturday, June 9, 1990",Hadejia,11.151211,9.304491,Built-up,156.55,2.4,16.2,Forest,2,4,9.23
161,"Sunday, June 10, 1990",Hadejia,11.819815,8.119226,Grassland,172.52,1.9,13.6,Forest,2,0,9.26
162,"Monday, June 11, 1990",Hadejia,11.185034,9.572762,Agriculture,272.06,2.5,17.5,Forest,3,3,10.09
163,"Tuesday, June 12, 1990",Hadejia,11.99133,8.678685,Built-up,463.21,1.9,17.6,Bareland,3,1,11.09
164,"Wednesday, June 13, 1990",Hadejia,12.627511,9.731675,Forest,281.71,2.2,17.8,Wetland,3,1,11.09
165,"Thursday, June 14, 1990",Hadejia,11.278068,8.796189,Water Body,372.82,1.8,19.5,Bareland,2,2,11.09
166,"Friday, June 15, 1990",Hadejia,11.38511,9.341848,Water Body,64.52,2.1,15.8,Bareland,0,2,10.26
167,"Saturday, June 16, 1990",Hadejia,11.896158,8.566861,Agriculture,380.03,1.3,20.1,Agriculture,3,1,10.67
168,"Sunday, June 17, 1990",Hadejia,12.362851,8.486518,Built-up,352.9,1.6,11.3,Bareland,1,4,10.58
169,"Monday, June 18, 1990",Hadejia,11.134571,8.045944,Grassland,489.83,1.7,21.1,Built-up,3,0,9.89
170,"Tuesday, June 19, 1990",Hadejia,11.111355,9.555742,Bare Land,191.46,2.6,17.4,Forest,2,1,9.08
171,"Wednesday, June 20, 1990",Hadejia,11.582734,8.272714,Forest,223.86,2.3,19.6,Wetland,3,2,9.14
172,"Thursday, June 21, 1990",Hadejia,12.518614,8.044997,Grassland,187.07,2.1,16,Bareland,0,2,9.57
173,"Friday, June 22, 1990",Hadejia,11.962569,8.43514,Built-up,286.54,1.9,16.4,Wetland,3,1,9.66
174,"Saturday, June 23, 1990",Hadejia,11.431988,9.399247,Grassland,441.21,1.8,14.9,Agriculture,2,1,9.27
175,"Sunday, June 24, 1990",Hadejia,12.534133,9.806428,Built-up,163.84,1.8,19.2,Forest,2,3,37.18
176,"Monday, June 25, 1990",Hadejia,11.308966,8.268053,Bare Land,366.37,2.2,18.2,Agriculture,1,3,37.43
177,"Tuesday, June 26, 1990",Hadejia,11.244472,8.379391,Bare Land,429.13,2,16.4,Bareland,2,2,37.06
178,"Wednesday, June 27, 1990",Hadejia,11.794175,8.942469,Agriculture,175.09,2.3,19,Wetland,1,1,37.2
179,"Thursday, June 28, 1990",Hadejia,12.643933,9.57359,Bare Land,360.32,2.2,14,Agriculture,0,1,36.87
180,"Friday, June 29, 1990",Hadejia,11.790273,9.652704,Built-up,297.63,2.1,16,Forest,2,2,36.87
181,"Saturday, June 30, 1990",Hadejia,12.885501,8.147804,Water Body,280.54,1.8,14.4,Bareland,3,1,38.73
182,"Sunday, July 1, 1990",Hadejia,11.092759,8.216619,Built-up,74.05,1.8,20.3,Bareland,0,2,11.19
183,"Monday, July 2, 1990",Hadejia,12.366124,8.487016,Agriculture,473.37,2,16.9,Forest,3,1,10.8
184,"Tuesday, July 3, 1990",Hadejia,11.943806,8.207749,Grassland,393.18,2.1,18.5,Agriculture,3,3,11.27
185,"Wednesday, July 4, 1990",Hadejia,12.242046,9.979413,Agriculture,86.57,1.9,19.9,Wetland,3,3,11.89
186,"Thursday, July 5, 1990",Hadejia,12.964638,9.955982,Forest,47.81,1.6,19.8,Forest,0,3,11.79
187,"Friday, July 6, 1990",Hadejia,12.675587,8.770345,Water Body,420.23,2.1,16.3,Agriculture,0,2,11.7
188,"Saturday, July 7, 1990",Hadejia,12.877632,8.09197,Water Body,272.23,2.2,16.9,Built-up,2,2,9.98
189,"Sunday, July 8, 1990",Hadejia,11.096346,8.882128,Forest,361.29,1.7,19.4,Agriculture,3,1,9.64
190,"Monday, July 9, 1990",Hadejia,12.37169,8.434921,Water Body,384.04,1.9,15.4,Agriculture,1,1,10.02
191,"Tuesday, July 10, 1990",Hadejia,11.210013,9.352253,Water Body,24.03,1.7,16,Built-up,2,4,9.54
192,"Wednesday, July 11, 1990",Hadejia,11.244057,8.41675,Forest,194.98,2.3,16.8,Forest,0,3,8.73
193,"Thursday, July 12, 1990",Hadejia,12.034479,9.241309,Grassland,421.72,2.6,17.2,Forest,1,3,9.47
194,"Friday, July 13, 1990",Hadejia,11.594217,8.141485,Grassland,314.06,2.4,18.6,Agriculture,0,2,9.47
195,"Saturday, July 14, 1990",Hadejia,12.563993,9.101727,Grassland,365.98,1.5,19.6,Built-up,1,1,9.46
196,"Sunday, July 15, 1990",Hadejia,12.444419,8.606772,Agriculture,99.48,2.1,15,Wetland,2,2,10.73
197,"Monday, July 16, 1990",Hadejia,11.569746,8.756016,Agriculture,487.55,2.2,16.2,Agriculture,1,1,16.09
198,"Tuesday, July 17, 1990",Hadejia,12.952683,8.847238,Bare Land,62.68,2.5,15.2,Wetland,2,2,17.26
199,"Wednesday, July 18, 1990",Hadejia,11.414158,8.335716,Grassland,7.75,1.8,16.1,Bareland,0,1,17.55
200,"Thursday, July 19, 1990",Hadejia,12.823435,9.421818,Bare Land,211.02,2,16.4,Forest,1,2,16.84
201,"Friday, July 20, 1990",Hadejia,12.086156,8.206122,Bare Land,374.62,1.6,15.8,Agriculture,3,1,16.84
202,"Saturday, July 21, 1990",Hadejia,11.542578,8.517057,Water Body,296.6,1.6,14.6,Agriculture,3,1,16.63
203,"Sunday, July 22, 1990",Hadejia,12.828057,9.152225,Grassland,232.24,2,19.1,Built-up,0,2,15.37
204,"Monday, July 23, 1990",Hadejia,12.924501,8.188036,Forest,192.4,2.4,19.1,Built-up,1,1,10.72
205,"Tuesday, July 24, 1990",Hadejia,12.885256,8.727557,Forest,212.17,2,12.3,Bareland,3,1,9.72
206,"Wednesday, July 25, 1990",Hadejia,11.571528,9.686221,Bare Land,168.97,2,17.7,Built-up,2,1,9.55
207,"Thursday, July 26, 1990",Hadejia,12.865203,9.750068,Agriculture,245.09,1.6,23.2,Wetland,1,1,9.52
208,"Friday, July 27, 1990",Hadejia,12.456269,9.532976,Grassland,67.59,2,18.6,Built-up,1,2,9.52
209,"Saturday, July 28, 1990",Hadejia,11.936248,8.790973,Forest,7.66,1.8,20.6,Built-up,3,1,10.07
210,"Sunday, July 29, 1990",Hadejia,11.161914,9.595731,Built-up,375.33,1.9,19.5,Agriculture,2,2,10.03
211,"Monday, July 30, 1990",Hadejia,11.15962,9.280674,Agriculture,96.65,2.5,14.4,Built-up,2,1,14.56
212,"Tuesday, July 31, 1990",Hadejia,12.032064,9.555044,Bare Land,280.62,1.9,18.6,Agriculture,2,2,15.24
213,"Wednesday, August 1, 1990",Hadejia,11.739157,8.451232,Built-up,433.09,1.9,13.4,Wetland,1,1,15.55
214,"Thursday, August 2, 1990",Hadejia,11.969941,8.180496,Bare Land,366.37,2.1,16.8,Bareland,0,1,16.28
215,"Friday, August 3, 1990",Hadejia,11.014543,8.055771,Forest,307.86,0.9,17.5,Bareland,1,2,16.28
216,"Saturday, August 4, 1990",Hadejia,11.113643,8.510192,Bare Land,274.79,1.8,22.6,Agriculture,1,2,20.47
217,"Sunday, August 5, 1990",Hadejia,12.344019,8.267353,Built-up,70.68,1.5,19,Bareland,3,2,20.92
218,"Monday, August 6, 1990",Hadejia,11.722322,8.724448,Bare Land,485.98,1.8,15.2,Built-up,0,2,15.39
219,"Tuesday, August 7, 1990",Hadejia,11.542971,8.842364,Water Body,222.59,2.6,18.2,Forest,2,2,15.01
220,"Wednesday, August 8, 1990",Hadejia,12.075592,9.460122,Bare Land,168.37,1.2,18.9,Forest,3,4,21.17
221,"Thursday, August 9, 1990",Hadejia,11.540799,9.348037,Water Body,243.74,1.5,18,Forest,1,1,21.61
222,"Friday, August 10, 1990",Hadejia,12.590992,8.89054,Water Body,439.33,2.4,18,Forest,0,4,21.84
223,"Saturday, August 11, 1990",Hadejia,12.264958,8.191989,Forest,72.46,2,21.4,Built-up,2,1,18.2
224,"Sunday, August 12, 1990",Hadejia,12.316504,8.911771,Grassland,449.93,2.1,16.8,Wetland,2,0,21.12
225,"Monday, August 13, 1990",Hadejia,12.550763,8.154538,Bare Land,488.58,2,18.1,Wetland,1,1,25.61
